Precio_BTC;Fecha;Precio_AAPL
7.876.765.815.345.920;3/2/2026;26.922.808.837.890.600
7.563.895.670.207.390;4/2/2026;27.623.150.634.765.600
7.317.229.203.248.920;5/2/2026;2.756.520.690.917.960
6.285.369.038.445.980;6/2/2026;2.778.599.853.515.620
7.054.237.329.463.870;9/2/2026;2.746.199.951.171.870
7.009.640.692.272.560;10/2/2026;27.367.999.267.578.100
6.877.990.981.269.120;11/2/2026;275.5
6.693.758.141.157.950;12/2/2026;2.617.300.109.863.280
6.618.457.765.470.440;13/2/2026;25.577.999.877.929.600
6.890.778.353.606.170;17/2/2026;2.638.800.048.828.120
6.748.945.540.267.960;18/2/2026;2.643.500.061.035.150
664.563.537.620.677;19/2/2026;2.605.799.865.722.650
6.691.868.417.467.620;20/2/2026;2.645.799.865.722.650
6.758.511.718.938.150;23/2/2026;26.617.999.267.578.100
64.577.553.200.674.400;24/2/2026;2.721.400.146.484.370
6.407.411.098.528.220;25/2/2026;2.742.300.109.863.280
6.794.739.185.585.180;26/2/2026;27.295.001.220.703.100
6.746.906.040.327.040;27/2/2026;26.417.999.267.578.100
657.134.989.891.121;2/3/2026;2.647.200.012.207.030
6.886.403.691.918.530;3/3/2026;263.75
683.216.178.484.252;4/3/2026;2.625.199.890.136.710
726.697.701.652.216;5/3/2026;2.602.900.085.449.210
7.087.498.687.140.140;6/3/2026;2.574.599.914.550.780
6.603.615.782.362.660;9/3/2026;2.598.800.048.828.120
6.845.931.537.095.340;10/3/2026;2.608.299.865.722.650
6.988.300.887.579.880;11/3/2026;26.080.999.755.859.300
70.226.818.790.692;12/3/2026;25.575.999.450.683.500
7.054.442.535.461.920;13/3/2026;2.501.199.951.171.870
726.819.132.538.886;16/3/2026;25.282.000.732.421.800
7.485.814.870.100.330;17/3/2026;25.422.999.572.753.900
7.392.627.899.152.410;18/3/2026;24.994.000.244.140.600
7.125.586.350.265.630;19/3/2026;2.489.600.067.138.670
698.714.514.796.119;20/3/2026;24.799.000.549.316.400
6.784.887.605.821.830;23/3/2026;25.260.000.610.351.500
7.108.646.973.638.310;23/3/2026;25.260.000.610.351.500
